Date,Curah Hujan Johor_MY,Curah Hujan Kalbar_ID,Curah Hujan Kalteng_ID,Curah Hujan Pahang_MY,Curah Hujan Riau_ID,Curah Hujan Sabah_MY,Curah Hujan Sarawak_MY,Curah Hujan Sumut_ID
2017-06-30,2.01,8.53,5.38,0.67,0.49,2.71,15.56,3.46
2017-07-03,5.08,1.39,0.45,5.0,2.17,3.6,0.36,0.21
2017-07-05,16.32,21.65,4.72,2.87,8.6,2.85,1.16,2.01
2017-07-06,6.05,34.62,12.37,0.88,0.87,7.96,2.05,39.27
2017-07-07,8.62,1.77,20.26,20.99,6.58,6.96,1.87,43.53
2017-07-10,3.97,11.63,8.22,18.38,8.9,7.91,13.87,12.74
2017-07-11,31.94,3.61,5.11,11.17,19.89,9.62,5.8,18.57
2017-07-12,2.21,11.67,5.5,4.16,6.9,3.86,17.26,3.1
2017-07-13,4.64,12.78,11.11,16.25,2.05,17.02,5.96,11.64
2017-07-14,5.39,6.09,11.13,13.13,1.49,20.25,3.29,7.23
2017-07-17,0.09,7.98,8.91,0.0,0.0,18.02,0.09,0.6
2017-07-18,0.35,19.36,17.92,0.0,0.04,6.85,7.58,0.27
2017-07-19,0.49,0.62,6.09,5.94,7.22,3.21,1.33,0.02
2017-07-20,1.71,0.53,0.96,7.74,1.68,2.97,0.45,0.65
2017-07-21,0.26,0.19,1.74,0.24,0.02,3.26,0.43,0.03
2017-07-24,0.29,0.03,0.1,3.9,0.03,1.75,0.0,0.11
